No.,Species,Local Name,Location,Count (Approx.),Breeding Time,Habitat
30,Groupers,Local Name 30,Palk Strait,Moderate,Summer (May-Jul),"Open Sea, Mangroves"
31,Blue Chromis,Local Name 31,West Bengal Coast,Common,Spring (Mar-Apr),"Rocky Reefs, Estuaries"
32,Mahi-Mahi,Local Name 32,Kochi,Rare,Year-round,"Sandy Bottoms, Coastal"
33,Blue Chromis,Local Name 33,Bay of Bengal,Critically Endangered,Winter (Dec-Feb),"Mangroves, Mangroves"
34,Hawkfish,Local Name 34,Lakshadweep Sea,Common,Winter (Dec-Feb),"Shallow Reefs, Coral Reefs"
35,Trevally,Local Name 35,Kanyakumari,Declining,Monsoon (July-Sept),"Shallow Reefs, Mangroves"
36,Moray Eel,Local Name 36,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Mangroves, Coral Reefs"
37,Gobies,Local Name 37,Goa,Rare,Summer (May-Jul),"Open Sea, Brackish"
38,Sturgeon,Local Name 38,Odisha Coast,Endangered,Year-round,"Open Sea, Brackish"
39,Hilsa,Local Name 39,Palk Strait,Endangered,Spring (Mar-Apr),"Mangroves, Estuaries"
40,Longcomb Sawfish,Local Name 40,Odisha Coast,Common,Winter (Dec-Feb),"Shallow Reefs, Freshwater rivers"
41,Anchovy,Local Name 41,Kanyakumari,Critically Endangered,Monsoon (July-Sept),"Shallow Reefs, Estuaries"
42,Tilefish,Local Name 42,Palk Strait,Rare,Year-round,"Mangroves, Mangroves"
43,Snappers,Local Name 43,Kanyakumari,Critically Endangered,Monsoon (July-Sept),"Freshwater rivers, Mangroves"
44,Bluespotted Ribbontail Ray,Local Name 44,Odisha Coast,Stable,Year-round,"Estuaries, Rocky Reefs"
45,Barracuda,Local Name 45,Lakshadweep Sea,Moderate,Spring (Mar-Apr),"Sandy Bottoms, Open Sea"
46,Ladyfish,Local Name 46,Tamil Nadu Coast,Endangered,Summer (May-Jul),"Shallow Reefs, Rocky Reefs"
47,Dory,Local Name 47,"Sundarbans, West Bengal",Endangered,Winter (Dec-Feb),"Sandy Bottoms, Rocky Reefs"
48,Mandarinfish,Local Name 48,Goa,Declining,Spring (Mar-Apr),"Mangroves, Coral Reefs"
49,Giant Grouper,Local Name 49,Bay of Bengal,Critically Endangered,Summer (May-Jul),"Mangroves, Rocky Reefs"
50,Herring,Local Name 50,Palk Strait,Declining,Spring (Mar-Apr),"Mangroves, Rocky Reefs"
51,Drum,Local Name 51,Bay of Bengal,Moderate,Monsoon (July-Sept),"Rocky Reefs, Open Sea"
52,Sandperch,Local Name 52,Gulf of Mannar,Stable,Year-round,"Coral Reefs, Freshwater rivers"
53,Seahorse,Local Name 53,"Sundarbans, West Bengal",Critically Endangered,Winter (Dec-Feb),"Brackish, Mangroves"
54,Giant Grouper,Local Name 54,Palk Strait,Common,Spring (Mar-Apr),"Shallow Reefs, Brackish"
55,Hilsa,Local Name 55,Andaman Islands,Endangered,Monsoon (July-Sept),"Brackish, Coastal"
56,Blue Chromis,Local Name 56,Bay of Bengal,Endangered,Monsoon (July-Sept),"Sandy Bottoms, Sandy Bottoms"
57,Blacktip Shark,Local Name 57,Kochi,Moderate,Winter (Dec-Feb),"Freshwater rivers, Mangroves"
58,Trevally,Local Name 58,Bay of Bengal,Declining,Spring (Mar-Apr),"Sandy Bottoms, Brackish"
59,Herring,Local Name 59,Rameswaram Coast,Critically Endangered,Summer (May-Jul),"Shallow Reefs, Rocky Reefs"
60,Blue Chromis,Local Name 60,Lakshadweep Sea,Stable,Year-round,"Brackish, Coastal"
61,Hilsa,Local Name 61,Andaman Islands,Moderate,Year-round,"Brackish, Mangroves"
62,Pufferfish,Local Name 62,Gulf of Mannar,Critically Endangered,Summer (May-Jul),"Rocky Reefs, Estuaries"
63,Cod,Local Name 63,Kanyakumari,Declining,Winter (Dec-Feb),"Estuaries, Sandy Bottoms"
64,Yellow Sea Bream,Local Name 64,Rameswaram Coast,Stable,Spring (Mar-Apr),"Rocky Reefs, Freshwater rivers"
65,Indo-Pacific King Mackerel,Local Name 65,Tamil Nadu Coast,Declining,Winter (Dec-Feb),"Open Sea, Rocky Reefs"
66,Groupers,Local Name 66,Rameswaram Coast,Common,Year-round,"Coastal, Open Sea"
67,Anglerfish,Local Name 67,Goa,Rare,Year-round,"Freshwater rivers, Estuaries"
68,Groupers,Local Name 68,"Sundarbans, West Bengal",Endangered,Spring (Mar-Apr),"Coral Reefs, Shallow Reefs"
69,Sardine,Local Name 69,"Sundarbans, West Bengal",Common,Summer (May-Jul),"Brackish, Rocky Reefs"
70,Indo-Pacific King Mackerel,Local Name 70,Andaman Islands,Stable,Summer (May-Jul),"Coastal, Coastal"
71,Surgeon Fish,Local Name 71,Goa,Critically Endangered,Spring (Mar-Apr),"Open Sea, Estuaries"
72,Ribbon Fish,Local Name 72,Visakhapatnam,Rare,Winter (Dec-Feb),"Brackish, Brackish"
73,Pomfret,Local Name 73,Lakshadweep Sea,Critically Endangered,Monsoon (July-Sept),"Open Sea, Coastal"
74,Emperor Fish,Local Name 74,Kochi,Rare,Monsoon (July-Sept),"Brackish, Freshwater rivers"
75,Gobies,Local Name 75,Odisha Coast,Stable,Year-round,"Rocky Reefs, Rocky Reefs"
76,Hawkfish,Local Name 76,Andaman Islands,Declining,Winter (Dec-Feb),"Brackish, Sandy Bottoms"
77,Bonito,Local Name 77,Mumbai Coast,Moderate,Winter (Dec-Feb),"Estuaries, Open Sea"
78,Tuna,Local Name 78,Goa,Rare,Summer (May-Jul),"Brackish, Estuaries"
79,Tilefish,Local Name 79,"Sundarbans, West Bengal",Critically Endangered,Year-round,"Shallow Reefs, Coral Reefs"
80,Pike,Local Name 80,Kochi,Rare,Winter (Dec-Feb),"Open Sea, Mangroves"
81,Pufferfish,Local Name 81,Bay of Bengal,Rare,Spring (Mar-Apr),"Shallow Reefs, Sandy Bottoms"
82,Bluespotted Ribbontail Ray,Local Name 82,Palk Strait,Rare,Winter (Dec-Feb),"Mangroves, Brackish"
83,Eel,Local Name 83,Visakhapatnam,Rare,Winter (Dec-Feb),"Freshwater rivers, Shallow Reefs"
84,Clown Fish,Local Name 84,Kerala Backwaters,Declining,Spring (Mar-Apr),"Open Sea, Coastal"
85,Scorpion Fish,Local Name 85,Andaman Islands,Endangered,Year-round,"Sandy Bottoms, Estuaries"
86,Blue Marlin,Local Name 86,Mumbai Coast,Rare,Summer (May-Jul),"Sandy Bottoms, Brackish"
87,Goby,Local Name 87,Lakshadweep Sea,Common,Spring (Mar-Apr),"Freshwater rivers, Estuaries"
88,Longcomb Sawfish,Local Name 88,Rameswaram Coast,Common,Summer (May-Jul),"Shallow Reefs, Coastal"
89,Shovelnose Ray,Local Name 89,Kerala Backwaters,Rare,Spring (Mar-Apr),"Open Sea, Coastal"
90,Mahi-Mahi,Local Name 90,"Sundarbans, West Bengal",Rare,Summer (May-Jul),"Shallow Reefs, Brackish"
91,Longcomb Sawfish,Local Name 91,Visakhapatnam,Moderate,Monsoon (July-Sept),"Sandy Bottoms, Open Sea"
92,Shovelnose Ray,Local Name 92,Bay of Bengal,Critically Endangered,Spring (Mar-Apr),"Estuaries, Brackish"
93,Barracuda,Local Name 93,Visakhapatnam,Critically Endangered,Winter (Dec-Feb),"Rocky Reefs, Shallow Reefs"
94,Bream,Local Name 94,Lakshadweep Sea,Common,Summer (May-Jul),"Coastal, Coral Reefs"
95,Barramundi,Local Name 95,Odisha Coast,Common,Spring (Mar-Apr),"Rocky Reefs, Open Sea"
96,Bluefin Tuna,Local Name 96,Lakshadweep Sea,Critically Endangered,Spring (Mar-Apr),"Open Sea, Shallow Reefs"
97,Goby,Local Name 97,Andaman Islands,Moderate,Summer (May-Jul),"Freshwater rivers, Shallow Reefs"
98,Trevally,Local Name 98,Kochi,Critically Endangered,Year-round,"Estuaries, Open Sea"
99,Indian Featherback,Local Name 99,Kanyakumari,Moderate,Winter (Dec-Feb),"Coral Reefs, Shallow Reefs"
100,Indian Featherback,Local Name 100,Palk Strait,Common,Year-round,"Open Sea, Open Sea"
101,Indo-Pacific King Mackerel,Local Name 101,Kerala Backwaters,Common,Monsoon (July-Sept),"Shallow Reefs, Freshwater rivers"
102,Anchovy,Local Name 102,Tamil Nadu Coast,Common,Summer (May-Jul),"Brackish, Coastal"
103,Trout,Local Name 103,Mumbai Coast,Moderate,Monsoon (July-Sept),"Estuaries, Estuaries"
104,Silver Whiting,Local Name 104,West Bengal Coast,Declining,Summer (May-Jul),"Sandy Bottoms, Coral Reefs"
105,Trout,Local Name 105,West Bengal Coast,Critically Endangered,Year-round,"Estuaries, Shallow Reefs"
106,Catfish,Local Name 106,Visakhapatnam,Common,Monsoon (July-Sept),"Coral Reefs, Open Sea"
107,Cod,Local Name 107,Lakshadweep Sea,Declining,Spring (Mar-Apr),"Rocky Reefs, Coastal"
108,Yellow Sea Bream,Local Name 108,Gulf of Mannar,Endangered,Monsoon (July-Sept),"Freshwater rivers, Sandy Bottoms"
109,Dory,Local Name 109,Palk Strait,Endangered,Monsoon (July-Sept),"Freshwater rivers, Open Sea"
110,Bluespotted Ribbontail Ray,Local Name 110,Kochi,Endangered,Summer (May-Jul),"Coral Reefs, Coral Reefs"
111,Trevally,Local Name 111,West Bengal Coast,Critically Endangered,Spring (Mar-Apr),"Mangroves, Freshwater rivers"
112,Indian Featherback,Local Name 112,Goa,Rare,Year-round,"Estuaries, Rocky Reefs"
113,Mackerel,Local Name 113,Tamil Nadu Coast,Declining,Summer (May-Jul),"Freshwater rivers, Open Sea"
114,Tilapia,Local Name 114,Lakshadweep Sea,Critically Endangered,Monsoon (July-Sept),"Rocky Reefs, Brackish"
115,Tuna,Local Name 115,Gulf of Mannar,Stable,Winter (Dec-Feb),"Sandy Bottoms, Mangroves"
116,Sturgeon,Local Name 116,Gulf of Mannar,Rare,Year-round,"Coral Reefs, Open Sea"
117,Tilefish,Local Name 117,Bay of Bengal,Declining,Monsoon (July-Sept),"Sandy Bottoms, Coral Reefs"
118,Bonito,Local Name 118,Kerala Backwaters,Common,Summer (May-Jul),"Sandy Bottoms, Shallow Reefs"
119,Goby,Local Name 119,Gulf of Mannar,Common,Monsoon (July-Sept),"Mangroves, Open Sea"
120,Surgeon Fish,Local Name 120,Visakhapatnam,Endangered,Winter (Dec-Feb),"Sandy Bottoms, Rocky Reefs"
121,Indian Featherback,Local Name 121,"Sundarbans, West Bengal",Rare,Winter (Dec-Feb),"Rocky Reefs, Coral Reefs"
122,Blue Marlin,Local Name 122,Bay of Bengal,Critically Endangered,Winter (Dec-Feb),"Brackish, Coastal"
123,Bonito,Local Name 123,Kochi,Common,Winter (Dec-Feb),"Brackish, Coastal"
124,Tuna,Local Name 124,Andaman Islands,Endangered,Winter (Dec-Feb),"Estuaries, Freshwater rivers"
125,Barramundi,Local Name 125,Rameswaram Coast,Moderate,Winter (Dec-Feb),"Freshwater rivers, Brackish"
126,Dory,Local Name 126,Tamil Nadu Coast,Declining,Year-round,"Mangroves, Freshwater rivers"
127,Barracuda,Local Name 127,West Bengal Coast,Declining,Spring (Mar-Apr),"Sandy Bottoms, Coastal"
128,Trevally,Local Name 128,Odisha Coast,Stable,Summer (May-Jul),"Sandy Bottoms, Coastal"
129,Swordfish,Local Name 129,Mumbai Coast,Declining,Winter (Dec-Feb),"Coral Reefs, Sandy Bottoms"
130,Blue Chromis,Local Name 130,"Sundarbans, West Bengal",Common,Year-round,"Shallow Reefs, Shallow Reefs"
131,Hilsa,Local Name 131,Rameswaram Coast,Moderate,Summer (May-Jul),"Open Sea, Coral Reefs"
132,Guitarfish,Local Name 132,Gulf of Mannar,Critically Endangered,Spring (Mar-Apr),"Brackish, Open Sea"
133,Bombay Duck,Local Name 133,Gulf of Mannar,Declining,Monsoon (July-Sept),"Estuaries, Brackish"
134,Longcomb Sawfish,Local Name 134,Gulf of Mannar,Common,Year-round,"Coral Reefs, Coral Reefs"
135,Dory,Local Name 135,Goa,Declining,Summer (May-Jul),"Freshwater rivers, Sandy Bottoms"
136,Gobies,Local Name 136,Kochi,Declining,Year-round,"Rocky Reefs, Sandy Bottoms"
137,Indo-Pacific King Mackerel,Local Name 137,Gulf of Mannar,Rare,Year-round,"Shallow Reefs, Sandy Bottoms"
138,Barramundi,Local Name 138,West Bengal Coast,Endangered,Spring (Mar-Apr),"Coastal, Shallow Reefs"
139,Silver Whiting,Local Name 139,Kanyakumari,Common,Summer (May-Jul),"Brackish, Rocky Reefs"
140,Hawkfish,Local Name 140,Bay of Bengal,Common,Summer (May-Jul),"Open Sea, Freshwater rivers"
141,Snapper,Local Name 141,Mumbai Coast,Declining,Spring (Mar-Apr),"Rocky Reefs, Coastal"
142,Snapper,Local Name 142,Gulf of Mannar,Rare,Summer (May-Jul),"Estuaries, Shallow Reefs"
143,Anchovy,Local Name 143,West Bengal Coast,Declining,Summer (May-Jul),"Coral Reefs, Coral Reefs"
144,Mahi-Mahi,Local Name 144,Lakshadweep Sea,Critically Endangered,Spring (Mar-Apr),"Mangroves, Open Sea"
145,Mandarinfish,Local Name 145,Kochi,Endangered,Spring (Mar-Apr),"Shallow Reefs, Rocky Reefs"
146,Wrasse,Local Name 146,Andaman Islands,Common,Spring (Mar-Apr),"Mangroves, Rocky Reefs"
147,Indian Featherback,Local Name 147,Mumbai Coast,Stable,Year-round,"Brackish, Mangroves"
148,Trevally,Local Name 148,"Sundarbans, West Bengal",Stable,Spring (Mar-Apr),"Open Sea, Sandy Bottoms"
149,Sandperch,Local Name 149,Andaman Islands,Stable,Year-round,"Brackish, Estuaries"
150,Herring,Local Name 150,Palk Strait,Moderate,Summer (May-Jul),"Mangroves, Rocky Reefs"
151,Tilapia,Local Name 151,Goa,Critically Endangered,Year-round,"Coral Reefs, Brackish"
152,Drum,Local Name 152,Kanyakumari,Endangered,Summer (May-Jul),"Coastal, Coral Reefs"
153,Hilsa,Local Name 153,Goa,Critically Endangered,Spring (Mar-Apr),"Open Sea, Coastal"
154,Surgeon Fish,Local Name 154,Goa,Critically Endangered,Spring (Mar-Apr),"Mangroves, Open Sea"
155,Anchovy,Local Name 155,Tamil Nadu Coast,Rare,Year-round,"Open Sea, Shallow Reefs"
156,Guitarfish,Local Name 156,"Sundarbans, West Bengal",Stable,Year-round,"Open Sea, Freshwater rivers"
157,Indian Featherback,Local Name 157,Bay of Bengal,Endangered,Summer (May-Jul),"Estuaries, Brackish"
158,Barracuda,Local Name 158,Visakhapatnam,Declining,Summer (May-Jul),"Brackish, Coastal"
159,Barramundi,Local Name 159,West Bengal Coast,Endangered,Spring (Mar-Apr),"Shallow Reefs, Estuaries"
160,Mullet,Local Name 160,Kochi,Stable,Year-round,"Rocky Reefs, Coral Reefs"
161,Mandarinfish,Local Name 161,Palk Strait,Critically Endangered,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
162,Silver Whiting,Local Name 162,Gulf of Mannar,Declining,Winter (Dec-Feb),"Sandy Bottoms, Freshwater rivers"
163,Tilapia,Local Name 163,Kerala Backwaters,Common,Summer (May-Jul),"Brackish, Shallow Reefs"
164,Giant Grouper,Local Name 164,Kanyakumari,Moderate,Year-round,"Mangroves, Estuaries"
165,Grunt,Local Name 165,Palk Strait,Rare,Year-round,"Brackish, Freshwater rivers"
166,Trout,Local Name 166,Odisha Coast,Endangered,Summer (May-Jul),"Sandy Bottoms, Coastal"
167,Mackerel,Local Name 167,Andaman Islands,Endangered,Spring (Mar-Apr),"Brackish, Coastal"
168,Barramundi,Local Name 168,Lakshadweep Sea,Endangered,Winter (Dec-Feb),"Coral Reefs, Coral Reefs"
169,Wrasse,Local Name 169,Andaman Islands,Moderate,Winter (Dec-Feb),"Freshwater rivers, Freshwater rivers"
170,Parrot Fish,Local Name 170,Mumbai Coast,Declining,Monsoon (July-Sept),"Freshwater rivers, Shallow Reefs"
171,Snapper,Local Name 171,Mumbai Coast,Rare,Monsoon (July-Sept),"Rocky Reefs, Mangroves"
172,Scorpion Fish,Local Name 172,Kerala Backwaters,Rare,Year-round,"Open Sea, Sandy Bottoms"
173,Sandperch,Local Name 173,Bay of Bengal,Stable,Summer (May-Jul),"Freshwater rivers, Brackish"
174,Anthias,Local Name 174,Goa,Stable,Summer (May-Jul),"Mangroves, Coral Reefs"
175,Pike,Local Name 175,Gulf of Mannar,Stable,Spring (Mar-Apr),"Sandy Bottoms, Freshwater rivers"
176,Snappers,Local Name 176,Kanyakumari,Stable,Year-round,"Rocky Reefs, Coastal"
177,Hilsa,Local Name 177,Lakshadweep Sea,Rare,Spring (Mar-Apr),"Freshwater rivers, Open Sea"
178,Goby,Local Name 178,"Sundarbans, West Bengal",Stable,Monsoon (July-Sept),"Rocky Reefs, Coastal"
179,Bream,Local Name 179,Lakshadweep Sea,Endangered,Monsoon (July-Sept),"Coral Reefs, Rocky Reefs"
180,Barramundi,Local Name 180,Kanyakumari,Moderate,Winter (Dec-Feb),"Coral Reefs, Shallow Reefs"
181,Sturgeon,Local Name 181,Kochi,Moderate,Year-round,"Estuaries, Freshwater rivers"
182,Surgeon Fish,Local Name 182,Goa,Endangered,Monsoon (July-Sept),"Shallow Reefs, Coral Reefs"
183,Barracuda,Local Name 183,Tamil Nadu Coast,Critically Endangered,Monsoon (July-Sept),"Mangroves, Rocky Reefs"
184,Snapper,Local Name 184,Mumbai Coast,Critically Endangered,Summer (May-Jul),"Shallow Reefs, Coral Reefs"
185,Blue Chromis,Local Name 185,Odisha Coast,Critically Endangered,Spring (Mar-Apr),"Coastal, Coral Reefs"
186,Groupers,Local Name 186,Visakhapatnam,Declining,Winter (Dec-Feb),"Freshwater rivers, Open Sea"
187,Pangasius Catfish,Local Name 187,Rameswaram Coast,Declining,Winter (Dec-Feb),"Rocky Reefs, Sandy Bottoms"
188,Sandperch,Local Name 188,Rameswaram Coast,Critically Endangered,Spring (Mar-Apr),"Coastal, Sandy Bottoms"
189,Bluefin Tuna,Local Name 189,Kochi,Endangered,Summer (May-Jul),"Sandy Bottoms, Estuaries"
190,Clown Fish,Local Name 190,Lakshadweep Sea,Moderate,Spring (Mar-Apr),"Brackish, Rocky Reefs"
191,Carp,Local Name 191,Lakshadweep Sea,Critically Endangered,Winter (Dec-Feb),"Brackish, Coastal"
192,Ribbon Fish,Local Name 192,Rameswaram Coast,Stable,Year-round,"Sandy Bottoms, Open Sea"
193,Chub,Local Name 193,Tamil Nadu Coast,Declining,Winter (Dec-Feb),"Rocky Reefs, Estuaries"
194,Clown Fish,Local Name 194,Gulf of Mannar,Common,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
195,Pike,Local Name 195,Kerala Backwaters,Stable,Monsoon (July-Sept),"Sandy Bottoms, Rocky Reefs"
196,Scorpion Fish,Local Name 196,Tamil Nadu Coast,Endangered,Monsoon (July-Sept),"Freshwater rivers, Shallow Reefs"
197,Blue Chromis,Local Name 197,Kanyakumari,Rare,Monsoon (July-Sept),"Mangroves, Coral Reefs"
198,Wrasse,Local Name 198,Mumbai Coast,Critically Endangered,Winter (Dec-Feb),"Coral Reefs, Brackish"
199,Bluespotted Ribbontail Ray,Local Name 199,Palk Strait,Critically Endangered,Year-round,"Sandy Bottoms, Shallow Reefs"
200,Giant Grouper,Local Name 200,West Bengal Coast,Endangered,Summer (May-Jul),"Sandy Bottoms, Mangroves"
201,Yellow Sea Bream,Local Name 201,West Bengal Coast,Rare,Summer (May-Jul),"Estuaries, Open Sea"
202,Sturgeon,Local Name 202,Kerala Backwaters,Stable,Year-round,"Estuaries, Sandy Bottoms"
203,Barramundi,Local Name 203,Kochi,Common,Winter (Dec-Feb),"Estuaries, Freshwater rivers"
204,Shovelnose Ray,Local Name 204,Andaman Islands,Rare,Spring (Mar-Apr),"Coastal, Mangroves"
205,Barracuda,Local Name 205,Palk Strait,Common,Spring (Mar-Apr),"Brackish, Shallow Reefs"
206,Wrasse,Local Name 206,"Sundarbans, West Bengal",Moderate,Monsoon (July-Sept),"Sandy Bottoms, Shallow Reefs"
207,Tilefish,Local Name 207,Gulf of Mannar,Moderate,Summer (May-Jul),"Freshwater rivers, Coral Reefs"
208,Sandperch,Local Name 208,Tamil Nadu Coast,Declining,Year-round,"Coral Reefs, Shallow Reefs"
209,Swordfish,Local Name 209,Odisha Coast,Declining,Monsoon (July-Sept),"Coastal, Freshwater rivers"
210,Pike,Local Name 210,Kochi,Declining,Summer (May-Jul),"Brackish, Open Sea"
211,Giant Grouper,Local Name 211,"Sundarbans, West Bengal",Moderate,Summer (May-Jul),"Open Sea, Coral Reefs"
212,Herring,Local Name 212,West Bengal Coast,Rare,Winter (Dec-Feb),"Mangroves, Rocky Reefs"
213,Bonito,Local Name 213,Palk Strait,Endangered,Spring (Mar-Apr),"Shallow Reefs, Estuaries"
214,Dory,Local Name 214,"Sundarbans, West Bengal",Rare,Winter (Dec-Feb),"Sandy Bottoms, Coastal"
215,Anchovy,Local Name 215,Andaman Islands,Critically Endangered,Year-round,"Coastal, Brackish"
216,Snapper,Local Name 216,Gulf of Mannar,Declining,Summer (May-Jul),"Estuaries, Open Sea"
217,Seahorse,Local Name 217,Tamil Nadu Coast,Common,Spring (Mar-Apr),"Coastal, Rocky Reefs"
218,Snapper,Local Name 218,Palk Strait,Moderate,Summer (May-Jul),"Open Sea, Open Sea"
219,Goby,Local Name 219,Andaman Islands,Moderate,Summer (May-Jul),"Coastal, Coastal"
220,Bluefin Tuna,Local Name 220,Palk Strait,Moderate,Summer (May-Jul),"Mangroves, Freshwater rivers"
221,Emperor Fish,Local Name 221,West Bengal Coast,Common,Monsoon (July-Sept),"Freshwater rivers, Open Sea"
222,Snappers,Local Name 222,"Sundarbans, West Bengal",Rare,Monsoon (July-Sept),"Estuaries, Shallow Reefs"
223,Silver Whiting,Local Name 223,Mumbai Coast,Rare,Year-round,"Estuaries, Freshwater rivers"
224,Groupers,Local Name 224,Lakshadweep Sea,Declining,Summer (May-Jul),"Rocky Reefs, Open Sea"
225,Barramundi,Local Name 225,Lakshadweep Sea,Critically Endangered,Year-round,"Open Sea, Sandy Bottoms"
226,Blue Chromis,Local Name 226,Odisha Coast,Rare,Year-round,"Mangroves, Mangroves"
227,Sturgeon,Local Name 227,Palk Strait,Rare,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
228,Silver Whiting,Local Name 228,Rameswaram Coast,Stable,Spring (Mar-Apr),"Rocky Reefs, Freshwater rivers"
229,Mullet,Local Name 229,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Rocky Reefs, Shallow Reefs"
230,Anchovy,Local Name 230,Kochi,Common,Summer (May-Jul),"Coastal, Rocky Reefs"
231,Blacktip Shark,Local Name 231,"Sundarbans, West Bengal",Common,Winter (Dec-Feb),"Shallow Reefs, Brackish"
232,Pangasius Catfish,Local Name 232,Palk Strait,Moderate,Spring (Mar-Apr),"Freshwater rivers, Estuaries"
233,Barramundi,Local Name 233,Palk Strait,Declining,Winter (Dec-Feb),"Estuaries, Shallow Reefs"
234,Tuna,Local Name 234,West Bengal Coast,Critically Endangered,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
235,Emperor Fish,Local Name 235,Rameswaram Coast,Common,Summer (May-Jul),"Rocky Reefs, Rocky Reefs"
236,Emperor Fish,Local Name 236,Palk Strait,Moderate,Summer (May-Jul),"Estuaries, Coral Reefs"
237,Barramundi,Local Name 237,Palk Strait,Declining,Spring (Mar-Apr),"Estuaries, Coastal"
238,Ribbon Fish,Local Name 238,Kochi,Endangered,Spring (Mar-Apr),"Freshwater rivers, Freshwater rivers"
239,Pufferfish,Local Name 239,West Bengal Coast,Common,Winter (Dec-Feb),"Mangroves, Mangroves"
240,Anchovy,Local Name 240,Bay of Bengal,Critically Endangered,Spring (Mar-Apr),"Mangroves, Mangroves"
241,Longcomb Sawfish,Local Name 241,Kochi,Common,Summer (May-Jul),"Coral Reefs, Freshwater rivers"
242,Sardine,Local Name 242,Odisha Coast,Moderate,Spring (Mar-Apr),"Mangroves, Coastal"
243,Hawkfish,Local Name 243,Lakshadweep Sea,Rare,Year-round,"Shallow Reefs, Coastal"
244,Swordfish,Local Name 244,Odisha Coast,Endangered,Spring (Mar-Apr),"Shallow Reefs, Sandy Bottoms"
245,Gobies,Local Name 245,Kerala Backwaters,Declining,Summer (May-Jul),"Shallow Reefs, Coral Reefs"
246,Wrasse,Local Name 246,Palk Strait,Endangered,Spring (Mar-Apr),"Mangroves, Sandy Bottoms"
247,Emperor Fish,Local Name 247,Goa,Rare,Summer (May-Jul),"Brackish, Rocky Reefs"
